epoch,step,test_acc,train_loss,val_acc,val_loss
0,175,,7.73228120803833,0.3822000026702881,1.7654486894607544
1,351,,6.106755256652832,0.4912000000476837,1.4128037691116333
2,527,,5.519843578338623,0.5267999768257141,1.307100534439087
3,703,,5.115427494049072,0.4903999865055084,1.4961265325546265
4,879,,4.8507609367370605,0.5425999760627747,1.2891123294830322
5,1055,,4.555635929107666,0.47780001163482666,1.5164912939071655
6,1231,,4.386836051940918,0.3903999924659729,2.108088731765747
7,1407,,4.188612461090088,0.5157999992370605,1.4899975061416626
8,1583,,4.006928443908691,0.6377999782562256,1.0396790504455566
9,1759,,3.883143424987793,0.5720000267028809,1.2988240718841553
10,1935,,3.740283489227295,0.6029999852180481,1.1464797258377075
11,2111,,3.611074686050415,0.6478000283241272,1.0575761795043945
12,2287,,3.498685121536255,0.5550000071525574,1.3406883478164673
13,2463,,3.3567776679992676,0.5396000146865845,1.5222055912017822
14,2639,,3.2320640087127686,0.6299999952316284,1.1325066089630127
15,2815,,2.7158801555633545,0.723800003528595,0.8200882077217102
16,2991,,2.579318046569824,0.7333999872207642,0.7990471720695496
17,3167,,2.537238359451294,0.7233999967575073,0.8021560311317444
18,3343,,2.502420425415039,0.7301999926567078,0.7930510640144348
19,3519,,2.482300281524658,0.722000002861023,0.8192834854125977
20,3695,,2.453719139099121,0.7206000089645386,0.8065743446350098
21,3871,,2.399880886077881,0.7146000266075134,0.8347265720367432
22,4047,,2.3931515216827393,0.7314000129699707,0.7975261211395264
23,4223,,2.36297869682312,0.7224000096321106,0.8216406106948853
24,4399,,2.332132339477539,0.7264000177383423,0.8173617720603943
25,4575,,2.3075671195983887,0.7319999933242798,0.7991999983787537
26,4751,,2.271409034729004,0.7192000150680542,0.8241007924079895
27,4927,,2.2486345767974854,0.725600004196167,0.8157267570495605
28,5103,,2.2289321422576904,0.7156000137329102,0.8577020764350891
29,5279,,2.203230619430542,0.7289999723434448,0.8186426758766174
30,5455,,2.1219661235809326,0.7342000007629395,0.792015016078949
31,5631,,2.112122058868408,0.7325999736785889,0.7943142056465149
32,5807,,2.115290880203247,0.7332000136375427,0.7947497963905334
33,5983,,2.104743480682373,0.7342000007629395,0.7972046732902527
34,6159,,2.0876965522766113,0.7332000136375427,0.7952706813812256
35,6335,,2.0953736305236816,0.7332000136375427,0.7983713746070862
36,6511,,2.0776097774505615,0.7325999736785889,0.7953162789344788
37,6687,,2.0784788131713867,0.7346000075340271,0.7957713007926941
38,6863,,2.074753761291504,0.7329999804496765,0.7984126210212708
39,7039,,2.0775070190429688,0.7328000068664551,0.7963658571243286
40,7215,,2.0823585987091064,0.7329999804496765,0.7983686327934265
41,7391,,2.0772581100463867,0.732200026512146,0.7978856563568115
42,7567,,2.0729074478149414,0.7347999811172485,0.7987622618675232
43,7743,,2.0659093856811523,0.7342000007629395,0.7990684509277344
44,7919,,2.080355167388916,0.7342000007629395,0.79658043384552
45,8095,,2.0654096603393555,0.7337999939918518,0.7972431182861328
46,8271,,2.061483144760132,0.7333999872207642,0.7968602180480957
47,8447,,2.0604987144470215,0.7332000136375427,0.7968690395355225
48,8623,,2.058593988418579,0.7332000136375427,0.7976131439208984
49,8799,,2.057163953781128,0.7343999743461609,0.7954772710800171
50,8800,0.7329999804496765,,,
